mID,mName,mSubType,mRarity,mMoveLimit
456,시간의 모래 : 만월의 유적지,41,0,0
457,시간의 모래 : 용기의 전장,41,0,0
600,무기 복구 주문서,57,4,6
601,방어구 복구 주문서,58,4,6
602,장신구 복구 주문서,59,4,6
603,무료 경험치 복구 주문서,64,0,6
910323,무료 경험치 복구 주문서[이벤트],64,0,6
604,전리품 복구 주문서,85,4,6
605,유물 복구 주문서,136,4,6
610,무기 복구 주문서[이벤트],57,2,6
611,방어구 복구 주문서[이벤트],58,2,6
612,장신구 복구 주문서[이벤트],59,2,6
614,전리품 복구 주문서[이벤트],85,2,6
615,유물 복구 주문서[이벤트],136,4,6
620,마력의 무기 복구 주문서,86,4,6
621,마력의 방어구 복구 주문서,87,4,6
622,마력의 장신구 복구 주문서,88,4,6
630,마력의 무기 복구 주문서[이벤트],86,2,6
631,마력의 방어구 복구 주문서[이벤트],87,2,6
632,마력의 장신구 복구 주문서[이벤트],88,2,6
640,전리품 복구 주문서[금관],124,4,6
641,전리품 복구 주문서[가면],125,4,6
642,전리품 복구 주문서[팔찌],126,4,6
643,전리품 복구 주문서[부적],127,4,6
644,전리품 복구 주문서[성배],128,4,6
645,전리품 복구 주문서[나팔],129,4,6
650,전리품 복구 주문서[금관][이벤트],124,2,6
651,전리품 복구 주문서[가면][이벤트],125,2,6
652,전리품 복구 주문서[팔찌][이벤트],126,2,6
653,전리품 복구 주문서[부적][이벤트],127,2,6
654,전리품 복구 주문서[성배][이벤트],128,2,6
655,전리품 복구 주문서[나팔][이벤트],129,2,6
660,전리품 복구 주문서[벨켄],161,4,6
661,전리품 복구 주문서[벨리타],162,4,6
662,전리품 복구 주문서[호텐],163,4,6
663,전리품 복구 주문서[크리스],164,4,6
670,전리품 복구 주문서[벨켄][이벤트],161,2,6
671,전리품 복구 주문서[벨리타][이벤트],162,2,6
672,전리품 복구 주문서[호텐][이벤트],163,2,6
673,전리품 복구 주문서[크리스][이벤트],164,2,6
700,장비 각인석,74,0,6
701,축복받은 장비 각인석,75,2,6
702,장비 각인석[이벤트],74,0,6
703,축복받은 장비 각인석[이벤트],75,2,6
720,장비 각인석,74,0,0
721,축복받은 장비 각인석,75,2,0
900,캐릭터 슬롯 확장권,63,4,6
901,캐릭터 서버 이전권,73,4,7
902,길드 이름 변경권,95,3,7
903,길드 이전 증서,120,4,7
904,길드 이름 변경권[이벤트],95,3,7
905,계정 링크 스크롤,131,3,7
910,변신 합성 재도전권,119,3,6
911,서번트 합성 재도전권,119,3,6
912,변신 합성 재도전 교환권,118,0,6
917,변신 합성 재도전 교환권[이벤트],118,0,6
913,서번트 합성 재도전 교환권,118,0,6
918,서번트 합성 재도전 교환권[이벤트],118,0,6
915,변신 합성 재도전권[이벤트],119,2,6
916,서번트 합성 재도전권[이벤트],119,2,6
920,변신 포인트 충전석[일반],91,0,6
921,변신 포인트 충전석[고급],91,1,6
922,변신 포인트 충전석[희귀],91,2,6
923,변신 포인트 충전석[영웅],91,3,6
924,변신 포인트 충전석[전설],91,4,6
925,서번트 포인트 충전석[일반],91,0,6
926,서번트 포인트 충전석[고급],91,1,6
927,서번트 포인트 충전석[희귀],91,2,6
928,서번트 포인트 충전석[영웅],91,3,6
929,서번트 포인트 충전석[전설],91,4,6
930,변신 합성 포인트 획득권[영웅],77,3,6
931,변신 합성 포인트 획득권[전설],77,4,6
935,서번트 합성 포인트 획득권[영웅],77,3,6
936,서번트 합성 포인트 획득권[전설],77,4,6
940,매터리얼 합성 포인트 획득권[영웅],77,3,6
941,매터리얼 합성 포인트 획득권[전설],77,4,6
942,매터리얼 합성 포인트 획득권[초월],77,5,6
950,길드 코인,54,0,7
951,명예 코인,61,0,6
952,로얄 코인,62,0,6
953,룰렛 코인,43,0,6
954,환영의 결정,92,0,7
955,카오스의 티끌,122,0,7
956,카오스 코인,121,1,7
957,미믹 코인,154,1,7
980,다이아몬드,25,0,7
981,마일리지,26,0,6
999,골드,24,0,6
1001,토끼 가죽,43,0,7
1002,머맨 비늘,43,0,7
1003,뿔거북 두꺼비 사체,43,0,7
1004,기네아 크랩 집게발,43,0,7
1005,와이번 발톱,43,0,7
1006,수상한 흔적,43,0,7
1007,그렘린 정착민의 자루,43,0,7
1008,묵직한 주머니,43,0,7
1009,연약한 픽시 날개,43,0,7
1010,고블린 도굴꾼 주머니,43,0,7
1011,짐승 가죽,43,0,7
1012,고블린 이빨,43,0,7
1013,고블린 귀,43,0,7
1014,마물의 간,43,0,7
1015,벌목꾼 장부,43,0,7
1016,놀 머리털,43,0,7
1017,놀 투구,43,0,7
1018,놀 손톱,43,0,7
1019,머맨 무기,43,0,7
1020,머맨 물갈퀴,43,0,7
1021,트롤 방패,43,0,7
1022,코볼트 철모,43,0,7
1023,거미알,43,0,7
1024,거미 다리,43,0,7
1025,푸리에영주 흔적1,43,0,7
1026,푸리에영주 흔적2,43,0,7
1027,푸리에영주 흔적3,43,0,7
1028,푸리에영주 흔적4,43,0,7
1029,어린 트로글다이트의 무기,43,0,7
1030,실종된 사람들의 흔적1,43,0,7
1031,실종된 사람들의 흔적2,43,0,7
1032,병사들의 흔적,43,0,7
1033,회복중인 픽시의 가루,43,0,7
1034,임프의 날개,43,0,7
1035,갈기 멧돼지의 엄니,43,0,7
1036,기라카메로의 뿔,43,0,7
1037,작은 숲라미아의 알,43,0,7
1038,숲거미의 알,43,0,7
1039,작은 숲라미아의 독니,43,0,7
1040,하피의 깃털,43,0,7
1041,파괴된 결계석,43,0,7
1042,병사들의 흔적2,43,0,7
1043,유품,43,0,7
1044,사나운 잿빛 늑대의 가죽,43,0,7
1045,고립된 놀 경비병의 무기,43,0,7
1046,사나운 잿빛 늑대 고기,43,0,7
1047,트롤 경비병의 무기,43,0,7
1048,마물들이 훔친 목재,43,0,7
1049,머맨 경비병의 가시,43,0,7
1050,블랙랜드 영주의 일지1,43,0,7
1051,블랙랜드 영주의 일지2,43,0,7
1052,블랙랜드 영주의 일지3,43,0,7
1053,수상한 밀서,43,0,7
1054,부서진 갑옷 조각,43,0,7
1055,알 수 없는 조각,43,0,7
1056,전투 멧돼지 고기,43,0,7
1057,감독관 일지,43,0,7
1058,벌목지 일지 - 1,43,0,7
1059,벌목지 일지 - 2,43,0,7
1060,징벌 너구리의 가죽,43,0,7
1061,코볼트 가죽,43,0,7
1062,저주의 흔적,43,0,7
1063,귀족 픽시의 날개 가루,43,0,7
1064,만드라고라의 뿌리,43,0,7
1065,밀림라미아의 알,43,0,7
1066,프테라노돈의 날개 살,43,0,7
1067,바실리스크의 고기,43,0,7
1068,저주의 문헌 - 1,43,0,7
1069,저주의 문헌 - 2,43,0,7
1070,저주의 문헌 - 3,43,0,7
1071,거친 황야의 전리품,43,0,7
1072,거친 황야 마물의 발톱,43,0,7
1073,라이칸스로프 감시자의 활,43,0,7
1074,라이칸스로프 강습병의 검,43,0,7
1075,라이칸스로프의 발톱,43,0,7
1076,노역자들의 유품 - 1,43,0,7
1077,노역자들의 유품 - 2,43,0,7
1078,노역자들의 유품 - 3,43,0,7
1079,거대 전갈고기,43,0,7
1080,불도마뱀 꼬리,43,0,7
1081,땅도마뱀 고기,43,0,7
1082,맨티코어의 날개,43,0,7
1083,자라탄 등껍질,43,0,7
1084,자라탄 고기,43,0,7
1085,자라탄 등뼈,43,0,7
1086,트랜트의 가지,43,0,7
1087,로덴 영주의 흔적 - 1,43,0,7
1088,로덴 영주의 흔적 - 2,43,0,7
1089,로덴 영주의 흔적 - 3,43,0,7
1090,로덴 영주의 마차 흔적 - 1,43,0,7
1091,로덴 영주의 마차 흔적 - 2,43,0,7
1092,로덴 영주의 마차 흔적 - 3,43,0,7
1093,켈베로스 고기,43,0,7
1094,식료품,43,0,7
1095,코볼트들의 병기,43,0,7
1096,혼돈의 조각,43,0,7
1097,미노타우르스의 가죽,43,0,7
1098,수상한 쪽지,43,0,7
1099,암흑 사제단의 지령,43,0,7
1100,찢어진 지령 - 1,43,0,7
1101,찢어진 지령 - 2,43,0,7
1102,찢어진 지령 - 3,43,0,7
1103,질서의 조각,43,0,7
1104,벨제뷔트의 일지 - 1,43,0,7
1105,벨제뷔트의 일지 - 2,43,0,7
1106,벨제뷔트의 일지 - 3,43,0,7
1107,암흑 사제단의 흔적,43,0,7
1108,사악한 기운,43,0,7
1109,타락한 플린드 영혼,43,0,7
1110,현자 벨제뷔트의 흔적,43,0,7
1111,딱정벌레의 표본,43,0,7
1112,말벌의 표본,43,0,7
1113,해적의 일기 1편,43,0,7
1114,해적의 일기 2편,43,0,7
1115,암흑 마력의 흔적,43,0,7
1116,빨간 솜털 모자,43,0,7
1117,빨간 양말,43,0,7
1118,호랑가시나무 열매,43,0,7
1119,지팡이 모양의 사탕,43,0,7
1120,찢어진 종이,43,0,7
1121,디에고 2세의 일기,43,0,7
1122,디에고 2세의 마지막 일기,43,0,7
2500,장인의 희귀 제작 비급서 ,103,2,0
2501,장인의 희귀 무기 제작 비급서 ,103,2,0
2502,장인의 희귀 방어구 제작 비급서 ,103,2,0
2503,장인의 희귀 장신구 제작 비급서 ,103,2,0
2510,장인의 영웅 제작 비급서 ,103,3,0
2511,장인의 영웅 무기 제작 비급서 ,103,3,0
2512,장인의 영웅 방어구 제작 비급서 ,103,3,0
2513,장인의 영웅 장신구 제작 비급서 ,103,3,0
2520,장인의 전설 제작 비급서 ,103,4,0
2521,장인의 전설 무기 제작 비급서 ,103,4,0
2522,장인의 전설 방어구 제작 비급서 ,103,4,0
2523,장인의 전설 장신구 제작 비급서 ,103,4,0
2531,장인의 초월 무기 제작 비급서,103,5,0
2532,장인의 초월 방어구 제작 비급서,103,5,0
2600,장인의 희귀 제작 비급서 조각,104,2,6
2601,장인의 희귀 무기 제작 비급서 조각,104,2,6
2602,장인의 희귀 방어구 제작 비급서 조각,104,2,6
2603,장인의 희귀 장신구 제작 비급서 조각,104,2,6
2610,장인의 영웅 제작 비급서 조각,104,3,6
2611,장인의 영웅 무기 제작 비급서 조각,104,3,6
2612,장인의 영웅 방어구 제작 비급서 조각,104,3,6
2613,장인의 영웅 장신구 제작 비급서 조각,104,3,6
2620,장인의 전설 제작 비급서 조각,104,4,6
2621,장인의 전설 무기 제작 비급서 조각,104,4,6
2622,장인의 전설 방어구 제작 비급서 조각,104,4,6
2623,장인의 전설 장신구 제작 비급서 조각,104,4,6
2631,장인의 초월 무기 제작 비급서 조각,104,5,6
2632,장인의 초월 방어구 제작 비급서 조각,104,5,6
2701,이크론의 수호석,116,1,0
2702,로키의 행운석,116,2,0
2901,희귀 변신 확정 뽑기권 조각,43,2,6
2902,희귀 서번트 확정 뽑기권 조각,43,2,6
2903,희귀 매터리얼 확정 상자 제작서,43,2,6
2904,강화된 수호의 팔찌 상자 제작서,43,2,6
2905,강화된 파괴의 가면 상자 제작서,43,2,6
2906,강화된 생명의 금관 상자 제작서,43,2,6
2907,강화된 숙련의 나팔 상자 제작서,43,2,6
2908,강화된 영혼의 부적 상자 제작서,43,2,6
2909,강화된 극복의 성배 상자 제작서,43,2,6
2910,전리품 상자 제작서,43,2,6
2911,강화된 전리품 상자 제작서,43,2,6
2912,영웅 매터리얼 확정 상자 제작서,43,3,6
2913,영웅 변신 확정 뽑기권 조각[프로모션],43,3,6
2914,영웅 서번트 확정 뽑기권 조각[프로모션],43,3,6
2915,영웅 매터리얼 확정 뽑기권 조각[프로모션],43,3,6
2916,조각상의 흔적,43,0,6
3000,가죽,116,0,0
3001,고급 가죽,116,0,0
3002,최고급 가죽,116,0,0
3010,천,116,0,0
3011,고급 천,116,0,0
3012,최고급 천,116,0,0
3020,철,116,0,0
3021,고급 철,116,0,0
3022,최고급 철,116,0,0
3030,보석,116,0,0
3031,고급 보석,116,0,0
3032,최고급 보석,116,0,0
3040,목재,116,0,0
3041,고급 목재,116,0,0
3042,최고급 목재,116,0,0
3050,흩어진 시간의 파편 : 메테오스의 탑,116,0,6
3051,흩어진 시간의 파편 : 필드 던전,116,0,6
3052,흩어진 시간의 파편 : 발레포르 던전,116,0,6
3053,흩어진 시간의 파편 : 원시해적의 동굴,116,0,6
3054,흩어진 시간의 파편 : 엘테르 던전,116,0,0
3055,흩어진 시간의 파편 : 만월의 유적지,116,0,0
3056,흩어진 시간의 파편 : 용기의 전장,116,0,0
3063,메테오스의 흔적,117,0,0
3064,푸리에 인장,117,0,0
3065,블랙랜드 인장,117,0,0
3066,바이런 인장,117,0,0
3067,로덴 인장,117,0,0
3100,이계의 기운,116,2,0
3200,태초의 흔적,116,3,0
3201,고대의 기억,116,3,6
3300,어둠의 영혼석,116,4,0
3350,지상신의 징표,116,5,0
3351,천상신의 징표,116,5,0
3352,전장의 정복자 징표,116,5,0
3353,전장의 기억,116,5,0
3354,이계의 마력 조각,116,0,6
3430,의문의 제작 비급서 조각#1,104,0,0
3431,의문의 제작 비급서 조각#2,104,0,0
3432,의문의 제작 비급서 조각#3,104,0,0
3440,봉인된 유피테르의 계약서,116,0,6
3441,봉인된 선장의 망토,113,3,0
3442,봉인된 해적의 망토,113,3,0
3443,봉인된 주술사의 망토,113,3,0
3444,봉인된 암살자의 자마다르,113,3,0
3445,봉인된 크리스 ,113,3,0
3446,봉인된 암살단의 망토,113,3,0
3447,봉인된 심연의 화염 투구,113,3,0
3448,봉인된 심연의 바람 투구,113,3,0
3449,봉인된 심연의 현자 투구,113,3,0
3450,봉인된 심연의 그림자 면갑,113,3,0
3451,봉인된 심연의 화염 갑옷,113,3,0
3452,봉인된 심연의 바람 갑옷,113,3,0
3453,봉인된 심연의 현자 갑옷,113,3,0
3454,봉인된 심연의 그림자 갑옷,113,3,0
3455,봉인된 심연의 화염 장갑,113,3,0
3456,봉인된 심연의 바람 장갑,113,3,0
3457,봉인된 심연의 현자 장갑,113,3,0
3458,봉인된 심연의 그림자 장갑,113,3,0
3459,봉인된 심연의 화염 부츠,113,3,0
3460,봉인된 심연의 바람 부츠,113,3,0
3461,봉인된 심연의 현자 부츠,113,3,0
3462,봉인된 심연의 그림자 부츠,113,3,0
3463,봉인된 심연의 화염 망토,113,3,0
3464,봉인된 심연의 바람 망토,113,3,0
3465,봉인된 심연의 현자 망토,113,3,0
3466,봉인된 심연의 그림자 망토,113,3,0
3467,봉인된 심연의 화염 방패,113,3,0
3468,봉인된 심연의 화염 가더,113,3,0
3469,봉인된 심연의 바람 가더,113,3,0
3470,봉인된 심연의 현자 가더,113,3,0
3471,봉인된 심연의 그림자 가더,113,3,0
3500,오래된 동전,116,0,0
3502,향상된 이크론의 코인,116,2,6
3503,정련된 이크론의 코인,116,2,6
3600,발레포르 증표,117,0,6
3601,상급 발레포르 증표,117,1,6
3602,최상급 발레포르 증표,117,2,6
3800,마력의 티끌,116,1,0
3801,응축된 심연의 기운,116,3,0
3802,황천의 근원,116,1,6
3803,유게네스의 기억,116,1,6
3804,헤라켄의 기억,116,1,6
3805,가이아스의 기억,116,1,6
3806,벨제뷔트의 기억,116,1,6
3901,의문의 열쇠 조각,116,0,6
3902,황금 열쇠,43,2,0
3903,잠겨진 고대 해적의 보물 상자,43,2,6
3904,투사의 증표,43,2,6
4000,하드히트 마법서,38,1,0
4001,파워브레이크 마법서,38,1,0
4002,페인킬러 마법서,38,1,0
4004,버서크 마법서,38,2,0
4005,매직 이뮤니티 마법서,38,2,0
4006,앤듀랜스 마법서,38,3,0
4007,최후의 저항 마법서,38,3,0
4008,아머 크러쉬 마법서,38,2,0
4009,숙련된 방어 마법서,38,2,0
4010,트리플 히트 마법서,38,3,0
4011,카운터 마법서,38,4,0
4100,에임드 샷 마법서,38,1,0
4101,소닉 베리어 마법서,38,1,0
4102,이그나이트 샷 마법서,38,2,0
4103,부스트 마법서,38,2,0
4104,아머 브레이크 마법서,38,2,0
4105,트리플 어택 마법서,38,3,0
4106,포지션 락 마법서,38,3,0
4107,웨폰 마스터리 마법서,38,1,0
4108,견제 마법서,38,2,0
4109,그랩 샷 마법서,38,3,0
4110,헤드 샷 마법서,38,4,0
4200,소울 스트라이크 마법서,38,1,0
4201,멘탈 포스 마법서,38,1,0
4202,포이즌 클라우드 마법서,38,1,0
4203,파티 힐 마법서,38,2,0
4204,익스체인지 블러드 마법서,38,2,0
4205,마나 실드 마법서,38,2,0
4206,웹 마법서,38,3,0
4207,디스펠 매직 마법서,38,3,0
4208,신의 기도 마법서,38,4,0
4210,마나게더 마법서,38,3,0
4211,블레스[마법] 마법서,38,3,0
4212,아이스 스톰 마법서,38,3,0
4213,라이트닝 콜 마법서,38,3,0
4214,플레임 스트라이크 마법서,38,3,0
4215,커버링 마법서,38,3,0
4220,둠 터치 마법서,38,2,0
4221,블레스[마검] 마법서,38,2,0
4222,커즈 마법서,38,2,0
4223,소드마스터 마법서,38,2,0
4224,마나 컨버젼 마법서,38,3,0
4225,데스퍼레이트 마법서,38,3,0
4300,모탈 블로우 마법서,38,1,0
4301,덱스터리티 마법서,38,1,0
4302,베놈 마법서,38,1,0
4303,스캠퍼 마법서,38,2,0
4304,스운 마법서,38,2,0
4305,이베이전 마법서,38,2,0
4306,포이즌 블로우 마법서,38,2,0
4307,인비지빌리티 마법서,38,3,0
4308,트리플 크러쉬 마법서,38,3,0
4309,불멸 마법서,38,3,0
4310,킬 온 사이트 마법서,38,4,0
4506,앤듀랜스 마법서 조각,43,3,6
4507,최후의 저항 마법서 조각,43,3,6
4510,트리플 히트 마법서 조각,43,3,6
4511,카운터 마법서 조각,43,4,6
4605,트리플 어택 마법서 조각,43,3,6
4606,포지션 락 마법서 조각,43,3,6
4609,그랩 샷 마법서 조각,43,3,6
4610,헤드 샷 마법서 조각,43,4,6
4706,웹 마법서 조각,43,3,6
4707,디스펠 매직 마법서 조각,43,3,6
4708,신의 기도 마법서 조각,43,4,6
4710,마나게더 마법서 조각,43,3,6
4711,블레스[마법] 마법서 조각,43,3,6
4712,아이스 스톰 마법서 조각,43,3,6
4713,라이트닝 콜 마법서 조각,43,3,6
4714,플레임 스트라이크 마법서 조각,43,3,6
4715,커버링 마법서 조각,43,3,6
4724,마나 컨버젼 마법서 조각,43,3,6
4725,데스퍼레이트 마법서 조각,43,3,6
4726,인비지빌리티 마법서 조각,43,3,6
4727,트리플 크러쉬 마법서 조각,43,3,6
4728,불멸 마법서 조각,43,3,6
4729,킬 온 사이트 마법서 조각,43,4,6
4800,나이트 영웅 스킬북 조각,43,3,6
4801,아처 영웅 스킬북 조각,43,3,6
4802,위저드 영웅 스킬북 조각,43,3,6
4803,어쌔신 영웅 스킬북 조각,43,3,6
4810,나이트 전설 스킬북 조각,43,4,6
4811,아처 전설 스킬북 조각,43,4,6
4812,위저드 전설 스킬북 조각,43,4,6
4813,어쌔신 전설 스킬북 조각,43,4,6
4900,마나 리제네레이션 마법서,38,0,0
4901,헤이스트 마법서,38,0,0
4902,스톤 스킨 마법서,38,0,0
4903,웨이트 익스텐션 마법서,38,0,0
4904,큐어 포이즌 마법서,38,0,0
4905,텔레포트 마법서,38,0,0
5001,레프리컨 변신 주문서,37,2,7
5002,다크 나이트 변신 주문서,37,3,7
5003,몽크 마스터 변신 주문서,37,2,7
5004,메타트론 아처 변신 주문서,37,3,7
5005,인페르노 변신 주문서,37,4,7
5006,데빌헌터 변신 주문서,37,3,7
5007,코볼트 변신 주문서,37,0,7
5008,하피 변신 주문서,37,0,7
5009,인퍼날 변신 주문서,37,1,7
5010,버서커 변신 주문서,37,1,7
5011,가고일 변신 주문서,37,1,7
5012,데몬 스토커 변신 주문서,37,1,7
5013,캐노네이드 키틴 변신 주문서,37,1,7
5014,데몬 변신 주문서,37,1,7
5015,래서 아스타로트 변신 주문서,37,2,7
5016,드래곤 나이트 변신 주문서,37,2,7
5017,노아스 변신 주문서,37,2,7
5018,엘라임 변신 주문서,37,2,7
5019,크루얼 크루세이더 변신 주문서,37,2,7
5020,퓨리 변신 주문서,37,2,7
5021,광휘의 엘윈더 변신 주문서,37,2,7
5022,수호자 엘리엇 변신 주문서,37,2,7
5023,래서 루시퍼 변신 주문서,37,2,7
5024,드래곤 나이트 아처 변신 주문서,37,2,7
5025,님로드 크루세이더 변신 주문서,37,2,7
5026,광휘의 엘로라 변신 주문서,37,2,7
5027,파이어 데몬 변신 주문서,37,2,7
5028,슈리엘 변신 주문서,37,2,7
5029,네크로맨서 변신 주문서,37,2,7
5030,쉐이드 웨폰 변신 주문서,37,2,7
5031,메타트론 변신 주문서,37,3,7
5032,아폴론 변신 주문서,37,3,7
5033,이프리트 변신 주문서,37,3,7
5034,아르테미스 변신 주문서,37,3,7
5035,다크 스팅어 변신 주문서,37,3,7
5036,엘더 스팅어 변신 주문서,37,3,7
5037,인페르노 아처 변신 주문서,37,4,7
5038,놀 병사 변신 주문서,37,0,7
5039,오크 변신 주문서,37,0,7
5040,그렘린 변신 주문서,37,0,7
5041,홉 고블린 변신 주문서,37,0,7
5042,용아병 변신 주문서,37,0,7
5043,좀비 변신 주문서,37,0,7
5044,버섯돌이 변신 주문서,37,0,7
5045,콜로복 변신 주문서,37,0,7
5046,선인장 변신 주문서,37,0,7
5047,갈색 곰 변신 주문서,37,0,7
5048,놀 아처 변신 주문서,37,0,7
5049,코볼트 아처 변신 주문서,37,0,7
5050,러스트 뱀파이어 변신 주문서,37,1,7
5051,뱀파이어 퀸 변신 주문서,37,1,7
5052,데빌 변신 주문서,37,1,7
5053,스켈레톤 나이트 변신 주문서,37,1,7
5054,뮤 변신 주문서,37,1,7
5055,노움 변신 주문서,37,1,7
5056,오크 전사 변신 주문서,37,1,7
5057,트롤 변신 주문서,37,1,7
5058,루움 변신 주문서,37,1,7
5059,본보우 아크리언 변신 주문서,37,1,7
5060,메테오스 레인저 변신 주문서,37,1,7
5061,임프 변신 주문서,37,1,7
5062,시아페 변신 주문서,37,2,7
5063,골든 엠페러 변신 주문서,37,2,7
5064,레이커 변신 주문서,37,2,7
5065,타락한 엘프 변신 주문서,37,2,7
5066,데드마스터 변신 주문서,37,2,7
5067,문라이트 네메시스 변신 주문서,37,2,7
5068,가이아 변신 주문서,37,2,7
5069,수호자 엘리시스 변신 주문서,37,2,7
5070,골든 엠페러 아처 변신 주문서,37,2,7
5071,타락한 엘프 아처 변신 주문서,37,2,7
5072,데드마스터 아처 변신 주문서,37,2,7
5073,스핀들 네메시스 변신 주문서,37,2,7
5074,가이아 거너 변신 주문서,37,2,7
5075,듀라한 변신 주문서,37,3,7
5076,크로노스 변신 주문서,37,3,7
5077,오페르시나 변신 주문서,37,3,7
5078,크로노스 아처 변신 주문서,37,3,7
5079,오페르시나 아처 변신 주문서,37,3,7
5080,비숍 변신 주문서,37,3,7
5081,에리스 변신 주문서,37,3,7
5082,발키리 변신 주문서,37,3,7
5083,식인늑대 변신 주문서,37,0,7
5084,리자드맨 변신 주문서,37,0,7
5085,군 변신 주문서,37,0,7
5086,벌거숭이 군 변신 주문서,37,0,7
5087,청개구리 변신 주문서,37,0,7
5088,괴물게 변신 주문서,37,0,7
5089,뱅갈 나이트 변신 주문서,37,1,7
5090,바바야가 변신 주문서,37,1,7
5091,메테오스 쉐도우 변신 주문서,37,1,7
5092,트로글다이트 변신 주문서,37,1,7
5093,곰인형 변신 주문서,37,1,7
5094,문엘프 전사 변신 주문서,37,1,7
5095,문엘프 마법사 변신 주문서,37,1,7
5096,미드나잇 셀린느 변신 주문서,37,2,7
5097,캡틴 라이칸 변신 주문서,37,2,7
5098,프린세스 변신 주문서,37,2,7
5099,차크람 소녀 변신 주문서,37,2,7
5100,체인 인큐버스 변신 주문서,37,2,7
5101,헌터 노바 변신 주문서,37,2,7
5102,길가메쉬 나이트 변신 주문서,37,2,7
5103,길가메쉬 아처 변신 주문서,37,2,7
